fam	desc
adsl	African Deaf Sign Languages
azsl	Asian Deaf Sign Languages
ausl	Australian Deaf Sign Languages
cdsl	Central American Deaf Sign Languages
edsl	European Deaf Sign Languages
ndsl	North American Deaf Sign Languages
pdsl	Pacific Deaf Sign Languages
sdsl	South American Deaf Sign Languages
