fam	desc
afml	African Mixed Languages
asml	Asian Mixed Languages
auml	Australian Mixed Languages
caml	Central American Mixed Languages
euml	European Mixed Languages
naml	North American Mixed Languages
ocml	Pacific Mixed Languages
saml	South American Mixed Languages
