fam	desc
afpc	African Pidgins and Creoles
aspc	Asian Pidgins and Creoles
aupc	Australian Pidgins and Creoles
capc	Central American Pidgins and Creoles
eupc	European Pidgins and Creoles
napc	North American Pidgins and Creoles
ocpc	Pacific Pidgins and Creoles
sapc	South American Pidgins and Creoles
cant	Cant (Parent of English-Tahitian Creole)
enta	English-Tahitian
