fam	desc
afun	African Unclassified Languages
asun	Asian Unclassified Languages
auun	Australian Unclassified Languages
caun	Central American Unclassified Languages
euun	European Unclassified Languages
naun	North American Unclassified Languages
paun	Pacific Unclassified Languages
saun	South American Unclassified Languages
